College Name	City	State	SAT	ACT	price-without-aid	price-with-avg-grant	students-with-need-who-get-grants	Average-Student-Debt	Early-career-earnings
Princeton University	Princeton	 NJ	1500	34	"$67,700 "	"$19,000 "	100%	"$7,500 "	"$69,800 "
University of California-San Diego	La Jolla	 CA	1310	30	"$32,900 "	"$15,900 "	95%	"$18,500 "	"$58,600 "
University of California-Irvine	Irvine	 CA	1200	27	"$34,700 "	"$14,800 "	96%	"$17,000 "	"$54,900 "
University of California-Los Angeles	Los Angeles	 CA	1320	31	"$34,700 "	"$15,300 "	96%	"$16,300 "	"$57,500 "
Stanford University	Stanford	 CA	1480	33	"$70,800 "	"$17,900 "	98%	"$12,500 "	"$73,300 "
Massachusetts Institute of Technology	Cambridge	 MA	1530	34	"$69,000 "	"$23,200 "	96%	"$17,300 "	"$81,500 "
University of California-Berkeley	Berkeley	 CA	1410	33	"$37,900 "	"$18,400 "	99%	"$14,200 "	"$65,400 "
CUNY Bernard M Baruch College	New York	 NY	1240	NA	"$32,500 "	"$10,200 "	89%	"$10,800 "	"$54,500 "
University of Michigan-Ann Arbor	Ann Arbor	 MI	1410	31	"$30,200 "	"$17,300 "	82%	"$20,100 "	"$59,300 "
University of Virginia-Main Campus	Charlottesville	 VA	1350	31	"$33,000 "	"$17,100 "	84%	"$19,500 "	"$59,500 "
University of California-Davis	Davis	 CA	1190	28	"$36,600 "	"$17,200 "	96%	"$14,700 "	"$56,700 "
California Institute of Technology	Pasadena	 CA	1560	35	"$70,600 "	"$28,800 "	100%	"$14,400 "	"$78,800 "
Rice University	Houston	 TX	1490	34	"$64,700 "	"$23,700 "	98%	"$10,200 "	"$65,700 "
University of Pennsylvania	Philadelphia	 PA	1480	34	"$73,400 "	"$24,600 "	99%	"$20,600 "	"$68,100 "
Yale University	New Haven	 CT	1510	34	"$73,000 "	"$19,700 "	100%	"$13,500 "	"$66,800 "
Harvard University	Cambridge	 MA	1520	34	"$71,300 "	"$17,400 "	100%	"$6,500 "	"$69,200 "
Texas A & M University-College Station	College Station	 TX	1190	27	"$29,200 "	"$16,600 "	82%	"$18,800 "	"$57,200 "
Vanderbilt University	Nashville	 TN	1510	34	"$69,000 "	"$24,900 "	92%	"$14,000 "	"$61,100 "
Georgia Institute of Technology-Main Campus	Atlanta	 GA	1410	32	"$29,500 "	"$14,300 "	87%	"$24,000 "	"$68,100 "
University of Washington-Seattle Campus	Seattle	 WA	1250	29	"$27,200 "	"$10,800 "	77%	"$15,000 "	"$57,300 "
Massachusetts Maritime Academy	Buzzards Bay	 MA	1050	23	"$26,300 "	"$15,100 "	71%	"$27,000 "	"$63,100 "
California State University-Long Beach	Long Beach	 CA	1050	23	"$24,600 "	"$10,600 "	80%	"$15,000 "	"$49,200 "
University of Florida	Gainesville	 FL	1280	29	"$21,600 "	"$15,800 "	65%	"$15,800 "	"$52,200 "
Washington and Lee University	Lexington	 VA	1390	32	"$67,500 "	"$25,600 "	100%	"$21,500 "	"$59,700 "
University of Illinois at Urbana-Champaign	Champaign	 IL	1380	29	"$30,800 "	"$17,900 "	64%	"$20,500 "	"$58,600 "
SUNY at Binghamton	Vestal	 NY	1320	30	"$26,700 "	"$17,800 "	83%	"$19,500 "	"$56,400 "
The University of Texas at Austin	Austin	 TX	1280	29	"$26,100 "	"$17,200 "	80%	"$22,300 "	"$56,900 "
University of Maryland-College Park	College Park	 MD	1320	31	"$27,100 "	"$16,900 "	78%	"$19,500 "	"$57,600 "
Virginia Polytechnic Institute and State University	Blacksburg	 VA	1210	NA	"$26,900 "	"$18,500 "	71%	"$24,000 "	"$58,600 "
University of Notre Dame	Notre Dame	 IN	1450	34	"$71,100 "	"$28,700 "	97%	"$21,500 "	"$62,500 "
North Carolina State University at Raleigh	Raleigh	 NC	1260	29	"$24,300 "	"$14,000 "	90%	"$20,800 "	"$53,800 "
University of California-Riverside	Riverside	 CA	1070	24	"$35,500 "	"$13,800 "	96%	"$19,100 "	"$51,600 "
Duke University	Durham	 NC	1480	33	"$73,500 "	"$21,400 "	96%	"$7,500 "	"$65,300 "
Stony Brook University	Stony Brook	 NY	1260	29	"$26,100 "	"$14,600 "	84%	"$19,000 "	"$54,300 "
The College of New Jersey	Ewing	 NJ	1200	28	"$35,300 "	"$24,100 "	39%	"$23,300 "	"$54,400 "
Williams College	Williamstown	 MA	1440	33	"$72,300 "	"$19,500 "	100%	"$14,600 "	"$62,000 "
University of Chicago	Chicago	 IL	1530	34	"$77,600 "	"$33,400 "	98%	"$14,500 "	"$58,100 "
University of California-Santa Barbara	Santa Barbara	 CA	1260	30	"$37,000 "	"$16,300 "	93%	"$16,500 "	"$54,900 "
James Madison University	Harrisonburg	 VA	1130	25	"$26,700 "	"$17,500 "	51%	"$20,900 "	"$53,400 "
Purdue University-Main Campus	West Lafayette	 IN	1200	28	"$23,400 "	"$12,600 "	64%	"$21,500 "	"$58,000 "
Michigan State University	East Lansing	 MI	1130	27	"$29,200 "	"$16,100 "	74%	"$25,500 "	"$51,800 "
College of the Holy Cross	Worcester	 MA	1290	29	"$67,800 "	"$29,000 "	82%	"$27,500 "	"$56,000 "
Swarthmore College	Swarthmore	 PA	1420	32	"$70,500 "	"$21,100 "	100%	"$19,500 "	"$60,000 "
Dartmouth College	Hanover	 NH	1460	32	"$73,600 "	"$22,700 "	96%	"$13,500 "	"$66,300 "
California State University-Dominguez Hills	Carson	 CA	850	17	"$22,900 "	"$3,500 "	86%	"$14,000 "	"$46,200 "
Georgetown University	Washington	 DC	1420	32	"$73,300 "	"$28,600 "	88%	"$15,500 "	"$61,400 "
California State Polytechnic University-Pomona	Pomona	 CA	1030	24	"$26,700 "	"$13,500 "	79%	"$19,000 "	"$53,600 "
University of Wisconsin-Madison	Madison	 WI	1310	29	"$26,300 "	"$17,000 "	77%	"$22,300 "	"$53,400 "
California State University-Stanislaus	Turlock	 CA	910	19	"$21,000 "	"$8,100 "	87%	"$15,000 "	"$47,000 "
University of Connecticut	Storrs	 CT	1230	29	"$31,800 "	"$20,500 "	72%	"$21,500 "	"$55,400 "
California State University-Los Angeles	Los Angeles	 CA	880	18	"$25,400 "	"$4,200 "	95%	"$12,900 "	"$47,100 "
Bates College	Lewiston	 ME	NA	NA	"$70,500 "	"$25,800 "	100%	"$14,500 "	"$55,800 "
Union College	Schenectady	 NY	NA	NA	"$70,300 "	"$41,500 "	94%	"$27,000 "	"$58,500 "
Barnard College	New York	 NY	1370	31	"$73,000 "	"$24,500 "	99%	"$17,800 "	"$53,500 "
Colgate University	Hamilton	 NY	1380	32	"$71,500 "	"$24,100 "	99%	"$16,100 "	"$61,400 "
Columbia University in the City of New York	New York	 NY	1500	34	"$76,000 "	"$24,700 "	99%	"$21,500 "	"$66,000 "
College of William and Mary	Williamsburg	 VA	1360	31	"$38,300 "	"$18,000 "	86%	"$19,500 "	"$54,400 "
University of North Carolina at Chapel Hill	Chapel Hill	 NC	1320	31	"$26,200 "	"$10,800 "	88%	"$16,500 "	"$51,200 "
Brown University	Providence	 RI	1470	33	"$72,800 "	"$27,100 "	94%	"$15,000 "	"$63,000 "
Boston College	Chestnut Hill	 MA	1360	32	"$72,300 "	"$29,200 "	88%	"$19,000 "	"$59,200 "
San Jose State University	San Jose	 CA	1040	23	"$28,800 "	"$14,800 "	93%	"$15,000 "	"$58,500 "
California State University-Chico	Chico	 CA	990	22	"$25,000 "	"$14,700 "	78%	"$17,000 "	"$52,700 "
Virginia Military Institute	Lexington	 VA	1150	26	"$31,300 "	"$17,400 "	81%	"$25,000 "	"$62,200 "
California Polytechnic State University-San Luis Obispo	San Luis Obispo	 CA	1260	29	"$27,800 "	"$19,900 "	88%	"$18,700 "	"$61,100 "
Rutgers University-New Brunswick	New Brunswick	 NJ	1230	NA	"$32,300 "	"$16,800 "	70%	"$22,200 "	"$55,800 "
California State University-Fresno	Fresno	 CA	910	19	"$20,900 "	"$6,600 "	88%	"$15,000 "	"$47,800 "
California State University-San Bernardino	San Bernardino	 CA	880	18	"$24,800 "	"$6,900 "	89%	"$16,500 "	"$45,500 "
University of Delaware	Newark	 DE	1170	26	"$28,500 "	"$17,100 "	83%	"$24,200 "	"$54,300 "
Babson College	Wellesley	 MA	1270	29	"$70,100 "	"$29,500 "	95%	"$26,000 "	"$66,600 "
Amherst College	Amherst	 MA	1460	33	"$73,000 "	"$20,500 "	100%	"$13,000 "	"$60,200 "
Pomona College	Claremont	 CA	1440	33	"$71,400 "	"$19,500 "	100%	"$11,000 "	"$57,500 "
Clemson University	Clemson	 SC	1250	29	"$30,300 "	"$19,100 "	82%	"$21,500 "	"$54,300 "
Davidson College	Davidson	 NC	1350	31	"$68,300 "	"$30,000 "	98%	"$17,000 "	"$53,100 "
Haverford College	Haverford	 PA	1420	33	"$73,300 "	"$22,700 "	100%	"$13,000 "	"$54,700 "
SUNY College of Environmental Science and Forestry	Syracuse	 NY	1170	25	"$28,000 "	"$19,400 "	99%	"$19,800 "	"$49,700 "
Hamilton College	Clinton	 NY	1390	32	"$69,300 "	"$26,200 "	100%	"$15,800 "	"$58,600 "
University of Minnesota-Twin Cities	Minneapolis	 MN	1320	29	"$28,100 "	"$17,400 "	84%	"$20,200 "	"$53,400 "
Bowdoin College	Brunswick	 ME	NA	NA	"$69,700 "	"$26,700 "	100%	"$18,800 "	"$55,500 "
San Diego State University	San Diego	 CA	1110	26	"$28,900 "	"$15,400 "	80%	"$15,300 "	"$51,100 "
Saint Johns University	Collegeville	 MN	1040	25	"$57,200 "	"$27,500 "	98%	"$27,000 "	"$54,700 "
CUNY Queens College	Queens	 NY	1090	NA	"$29,000 "	"$9,300 "	86%	"$11,000 "	"$48,700 "
Lafayette College	Easton	 PA	1300	29	"$70,300 "	"$28,100 "	94%	"$26,000 "	"$61,500 "
Vassar College	Poughkeepsie	 NY	1420	32	"$72,100 "	"$23,600 "	99%	"$15,800 "	"$52,100 "
California State University-Fullerton	Fullerton	 CA	1020	22	"$28,000 "	"$8,800 "	76%	"$15,000 "	"$47,400 "
Bentley University	Waltham	 MA	1180	28	"$67,800 "	"$38,200 "	98%	"$26,500 "	"$62,000 "
Northwestern University	Evanston	 IL	1480	33	"$74,700 "	"$31,500 "	98%	"$19,400 "	"$59,500 "
University of Massachusetts-Amherst	Amherst	 MA	1230	28	"$30,800 "	"$21,600 "	87%	"$24,000 "	"$53,500 "
Iowa State University	Ames	 IA	1130	25	"$21,100 "	"$14,600 "	97%	"$23,900 "	"$52,700 "
California State University-Northridge	Northridge	 CA	920	20	"$22,700 "	"$7,100 "	85%	"$14,200 "	"$47,900 "
Wellesley College	Wellesley	 MA	1410	32	"$70,700 "	"$21,500 "	97%	"$8,900 "	"$53,800 "
Wake Forest University	Winston-Salem	 NC	NA	NA	"$70,800 "	"$25,600 "	96%	"$23,000 "	"$56,000 "
College of Saint Benedict	Saint Joseph	 MN	1010	25	"$58,200 "	"$28,800 "	96%	"$26,300 "	"$46,300 "
Cornell University	Ithaca	 NY	1430	33	"$72,000 "	"$32,200 "	98%	"$12,000 "	"$65,600 "
University of Georgia	Athens	 GA	1240	29	"$27,000 "	"$16,100 "	92%	"$19,100 "	"$50,200 "
Indiana University-Bloomington	Bloomington	 IN	1180	27	"$25,000 "	"$13,600 "	80%	"$22,500 "	"$50,300 "
University of California-Santa Cruz	Santa Cruz	 CA	1180	28	"$36,900 "	"$17,500 "	93%	"$20,000 "	"$53,500 "
George Mason University	Fairfax	 VA	1160	27	"$29,900 "	"$19,400 "	78%	"$19,800 "	"$55,100 "
Citadel Military College of South Carolina	Charleston	 SC	1060	23	"$29,400 "	"$19,800 "	79%	"$23,800 "	"$56,100 "
DePauw University	Greencastle	 IN	1160	27	"$64,100 "	"$33,100 "	100%	"$25,600 "	"$52,300 "
University of New Hampshire-Main Campus	Durham	 NH	1100	25	"$33,800 "	"$24,800 "	71%	"$27,000 "	"$50,600 "
Tufts University	Medford	 MA	1450	33	"$72,300 "	"$30,100 "	93%	"$18,000 "	"$60,400 "
Brigham Young University-Provo	Provo	 UT	1270	29	"$18,800 "	"$13,800 "	80%	"$11,000 "	"$55,400 "
Santa Clara University	Santa Clara	 CA	1300	30	"$71,100 "	"$40,400 "	71%	"$21,500 "	"$63,800 "
University of Richmond	Richmond	 VA	1320	31	"$66,400 "	"$24,100 "	98%	"$21,100 "	"$55,400 "
Johns Hopkins University	Baltimore	 MD	1490	33	"$71,500 "	"$29,400 "	92%	"$15,000 "	"$63,200 "
Claremont McKenna College	Claremont	 CA	1410	32	"$73,500 "	"$32,800 "	98%	"$15,000 "	"$63,500 "
SUNY at Albany	Albany	 NY	1080	24	"$26,300 "	"$16,200 "	83%	"$21,100 "	"$49,300 "
University of Illinois at Chicago	Chicago	 IL	1110	24	"$31,400 "	"$12,400 "	81%	"$18,800 "	"$52,800 "
CUNY John Jay College of Criminal Justice	New York	 NY	980	NA	"$34,700 "	"$9,200 "	78%	"$10,000 "	"$43,100 "
Simmons College	Boston	 MA	1170	27	"$59,600 "	"$32,000 "	100%	"$26,000 "	"$51,300 "
Wesleyan University	Middletown	 CT	NA	NA	"$71,600 "	"$22,000 "	93%	"$17,500 "	"$55,900 "
Michigan Technological University	Houghton	 MI	1200	28	"$29,800 "	"$17,500 "	79%	"$26,900 "	"$63,000 "
University of Southern California	Los Angeles	 CA	1390	32	"$73,900 "	"$35,400 "	91%	"$22,400 "	"$59,400 "
Ramapo College of New Jersey	Mahwah	 NJ	1080	24	"$31,600 "	"$16,800 "	48%	"$22,800 "	"$48,100 "
University of Portland	Portland	 OR	1190	NA	"$60,700 "	"$34,100 "	78%	"$24,300 "	"$55,100 "
Arizona State University-Tempe	Tempe	 AZ	1150	25	"$28,200 "	"$14,000 "	93%	"$20,300 "	"$51,400 "
SUNY Cortland	Cortland	 NY	1070	24	"$25,500 "	"$18,700 "	72%	"$21,500 "	"$43,400 "
Lehigh University	Bethlehem	 PA	1330	31	"$67,500 "	"$29,500 "	98%	"$24,300 "	"$65,400 "
Cooper Union for the Advancement of Science and Art	New York	 NY	1420	31	"$66,600 "	"$37,300 "	100%	"$16,700 "	"$63,900 "
Ohio State University-Main Campus	Columbus	 OH	1290	29	"$27,700 "	"$19,300 "	85%	"$21,500 "	"$51,900 "
California State University Maritime Academy	Vallejo	 CA	NA	NA	"$28,800 "	"$15,700 "	100%	"$25,500 "	"$64,600 "
Florida State University	Tallahassee	 FL	1200	27	"$22,300 "	"$17,700 "	77%	"$20,800 "	"$47,000 "
Northeastern University	Boston	 MA	1420	33	"$69,800 "	"$32,200 "	91%	"$27,900 "	"$58,300 "
Franklin and Marshall College	Lancaster	 PA	NA	NA	"$72,100 "	"$24,900 "	100%	"$22,000 "	"$53,700 "
Bucknell University	Lewisburg	 PA	1290	30	"$71,800 "	"$36,900 "	95%	"$27,000 "	"$62,300 "
CUNY Hunter College	New York	 NY	1160	NA	"$22,600 "	"$11,000 "	86%	"$11,500 "	"$48,700 "
Illinois State University	Normal	 IL	NA	24	"$29,600 "	"$19,800 "	62%	"$22,000 "	"$47,900 "
Emory University	Atlanta	 GA	1400	32	"$68,600 "	"$26,600 "	94%	"$17,200 "	"$56,700 "
Washington University in St Louis	Saint Louis	 MO	1490	33	"$73,700 "	"$30,900 "	97%	"$19,900 "	"$60,100 "
Colby College	Waterville	 ME	1370	32	"$70,200 "	"$22,600 "	100%	"$19,300 "	"$55,200 "
CUNY Lehman College	Bronx	 NY	1000	NA	"$27,800 "	"$6,600 "	90%	"$10,200 "	"$45,300 "
Harvey Mudd College	Claremont	 CA	1500	34	"$76,200 "	"$38,100 "	95%	"$25,500 "	"$81,000 "
St Lawrence University	Canton	 NY	NA	NA	"$69,900 "	"$33,900 "	100%	"$27,000 "	"$52,000 "
Maine Maritime Academy	Castine	 ME	1040	23	"$27,900 "	"$20,600 "	72%	"$27,000 "	"$63,300 "
University of Vermont	Burlington	 VT	1200	28	"$34,100 "	"$19,100 "	93%	"$22,300 "	"$49,500 "
University of Iowa	Iowa City	 IA	1170	26	"$23,100 "	"$15,200 "	73%	"$21,600 "	"$50,700 "
University at Buffalo	Buffalo	 NY	1170	27	"$26,800 "	"$17,200 "	76%	"$19,500 "	"$50,200 "
College of the Ozarks	Point Lookout	 MO	1090	23	"$30,200 "	"$14,300 "	100%	N/A	"$38,300 "
Molloy College	Rockville Centre	 NY	1080	24	"$51,600 "	"$29,900 "	93%	"$27,000 "	"$57,100 "
Colorado School of Mines	Golden	 CO	1340	31	"$34,500 "	"$26,900 "	56%	"$26,000 "	"$71,900 "
College of Mount Saint Vincent	Bronx	 NY	880	20	"$51,200 "	"$18,500 "	94%	"$27,000 "	"$48,000 "
Siena College	Loudonville	 NY	NA	NA	"$55,100 "	"$28,800 "	100%	"$27,000 "	"$50,200 "
Trinity University	San Antonio	 TX	1270	29	"$58,200 "	"$30,700 "	98%	"$25,500 "	"$51,100 "
CUNY Brooklyn College	Brooklyn	 NY	1110	NA	"$22,700 "	"$10,500 "	82%	"$10,400 "	"$48,200 "
Gustavus Adolphus College	Saint Peter	 MN	NA	NA	"$57,100 "	"$26,100 "	99%	"$27,000 "	"$48,200 "
Gettysburg College	Gettysburg	 PA	NA	NA	"$68,300 "	"$37,200 "	95%	"$22,000 "	"$52,600 "
Towson University	Towson	 MD	1070	23	"$26,900 "	"$16,700 "	62%	"$17,800 "	"$48,200 "
Wabash College	Crawfordsville	 IN	1130	26	"$55,900 "	"$26,000 "	99%	"$25,000 "	"$58,900 "
Washington State University	Pullman	 WA	1050	23	"$27,900 "	"$19,100 "	86%	"$20,400 "	"$52,400 "
California State University-Sacramento	Sacramento	 CA	940	20	"$26,400 "	"$9,800 "	95%	"$15,800 "	"$50,900 "
Wheaton College - Illinois	Wheaton	 IL	1290	30	"$48,800 "	"$29,900 "	99%	"$22,500 "	"$49,600 "
St Olaf College	Northfield	 MN	1260	29	"$59,700 "	"$29,300 "	100%	"$27,000 "	"$49,000 "
Stevens Institute of Technology	Hoboken	 NJ	1350	31	"$68,800 "	"$39,900 "	99%	"$28,300 "	"$70,800 "
Villanova University	Villanova	 PA	1320	31	"$69,900 "	"$35,700 "	91%	"$26,500 "	"$61,400 "
Carnegie Mellon University	Pittsburgh	 PA	1470	33	"$71,800 "	"$37,800 "	95%	"$26,300 "	"$70,900 "
Middlebury College	Middlebury	 VT	1390	32	"$71,100 "	"$23,000 "	98%	"$15,900 "	"$56,300 "
Syracuse University	Syracuse	 NY	1190	27	"$67,100 "	"$34,200 "	92%	"$27,000 "	"$53,900 "
The College of Saint Scholastica	Duluth	 MN	1010	24	"$50,300 "	"$24,800 "	74%	"$21,200 "	"$48,300 "
Worcester Polytechnic Institute	Worcester	 MA	NA	NA	"$66,600 "	"$43,700 "	97%	"$27,000 "	"$69,200 "
Fairfield University	Fairfield	 CT	NA	NA	"$65,900 "	"$41,400 "	85%	"$27,000 "	"$57,100 "
Bethel University	Saint Paul	 MN	1130	25	"$51,600 "	"$29,200 "	100%	"$24,400 "	"$47,800 "
Saint Mary's College	Notre Dame	 IN	1070	25	"$56,500 "	"$27,900 "	100%	"$27,000 "	"$47,100 "
McDaniel College	Westminster	 MD	1100	25	"$57,200 "	"$25,000 "	100%	"$27,000 "	"$48,700 "
Montclair State University	Montclair	 NJ	NA	NA	"$31,100 "	"$16,200 "	63%	"$23,000 "	"$47,400 "
Art Center College of Design	Pasadena	 CA	NA	NA	"$61,000 "	"$47,000 "	N/A	"$31,300 "	"$59,200 "
Marquette University	Milwaukee	 WI	1160	27	"$56,600 "	"$36,000 "	98%	"$27,000 "	"$54,300 "
Temple University	Philadelphia	 PA	NA	NA	"$33,200 "	"$22,800 "	84%	"$26,000 "	"$48,800 "
St Catherine University	Saint Paul	 MN	1080	22	"$51,900 "	"$24,200 "	76%	"$28,000 "	"$47,500 "
California State University-East Bay	Hayward	 CA	NA	NA	"$25,700 "	"$11,600 "	94%	"$16,300 "	"$53,900 "
Assumption College	Worcester	 MA	NA	NA	"$55,900 "	"$31,600 "	100%	"$27,000 "	"$50,700 "
SUNY College at Brockport	Brockport	 NY	1020	23	"$24,700 "	"$15,300 "	81%	"$20,800 "	"$43,200 "
Providence College	Providence	 RI	1140	26	"$66,500 "	"$37,800 "	98%	"$27,000 "	"$54,700 "
Lake Forest College	Lake Forest	 IL	NA	NA	"$60,100 "	"$26,300 "	N/A	"$27,000 "	"$51,000 "
Holy Family University	Philadelphia	 PA	930	NA	"$48,000 "	"$16,800 "	94%	"$27,000 "	"$48,300 "
Martin Luther College	New Ulm	 MN	1230	24	"$26,200 "	"$19,600 "	98%	"$23,100 "	"$34,700 "
Touro College	New York	 NY	NA	NA	"$36,000 "	"$20,300 "	95%	"$12,500 "	"$55,700 "
Case Western Reserve University	Cleveland	 OH	1390	32	"$67,000 "	"$35,600 "	97%	"$24,100 "	"$62,400 "
Brandeis University	Waltham	 MA	1380	31	"$72,600 "	"$34,500 "	94%	"$27,000 "	"$55,300 "
